"Country_name";"Sub_region";"Region";"Land_area"
"Qatar";"Western Asia";"Northern Africa and Western Asia";11490.0
"Republic of Korea";"Eastern Asia";"Eastern and South-Eastern Asia";0.0
"Réunion";"Eastern Africa";"Sub-Saharan Africa";0.0
"Rwanda";"Eastern Africa";"Sub-Saharan Africa";24670.0
"Saint Barthélemy";"Caribbean";"Latin America and the Caribbean";0.0
"Saint Helena";"Western Africa";"Sub-Saharan Africa";0.0
"Saint Kitts and Nevis";"Caribbean";"Latin America and the Caribbean";0.0
"Saint Lucia";"Caribbean";"Latin America and the Caribbean";0.0
"Saint Martin (French Part)";"Caribbean";"Latin America and the Caribbean";0.0
"Saint Pierre and Miquelon";"Northern America";"Europe and Northern America";0.0
"Saint Vincent and the Grenadines";"Caribbean";"Latin America and the Caribbean";0.0
"Samoa";"Polynesia";"Oceania";2796.67
"Sao Tome and Principe";"Middle Africa";"Sub-Saharan Africa";960.0
"Saudi Arabia";"Western Asia";"Northern Africa and Western Asia";2149690.0
"Senegal";"Western Africa";"Sub-Saharan Africa";192530.0
"Seychelles";"Eastern Africa";"Sub-Saharan Africa";460.0
"Sierra Leone";"Western Africa";"Sub-Saharan Africa";72180.0
"Singapore";"South-Eastern Asia";"Eastern and South-Eastern Asia";713.0
"Sint Maarten (Dutch part)";"Caribbean";"Latin America and the Caribbean";34.0
"Solomon Islands";"Melanesia";"Oceania";27990.0
"Somalia";"Eastern Africa";"Sub-Saharan Africa";627340.0
"South Africa";"Southern Africa";"Sub-Saharan Africa";1213090.0
"South Sudan";"Eastern Africa";"Sub-Saharan Africa";631930.0
"Sri Lanka";"Southern Asia";"Central and Southern Asia";61877.91
"State of Palestine";"Western Asia";"Northern Africa and Western Asia";0.0
"Sudan";"Northern Africa";"Northern Africa and Western Asia";1868000.0
"Suriname";"South America";"Latin America and the Caribbean";156000.0
"Syrian Arab Republic";"Western Asia";"Northern Africa and Western Asia";183630.0
"Tajikistan";"Central Asia";"Central and Southern Asia";138790.0
"Thailand";"South-Eastern Asia";"Eastern and South-Eastern Asia";510890.0
"Timor-Leste";"South-Eastern Asia";"Eastern and South-Eastern Asia";14870.0
"Togo";"Western Africa";"Sub-Saharan Africa";54390.0
"Tokelau";"Polynesia";"Oceania";0.0
"Tonga";"Polynesia";"Oceania";720.0
"Trinidad and Tobago";"Caribbean";"Latin America and the Caribbean";5130.0
"Tunisia";"Northern Africa";"Northern Africa and Western Asia";155360.0
"Türkiye";"Western Asia";"Northern Africa and Western Asia";0.0
"Turkmenistan";"Central Asia";"Central and Southern Asia";469930.0
"Turks and Caicos Islands";"Caribbean";"Latin America and the Caribbean";950.0
"Tuvalu";"Polynesia";"Oceania";30.0
"Uganda";"Eastern Africa";"Sub-Saharan Africa";200520.0
"United Arab Emirates";"Western Asia";"Northern Africa and Western Asia";71020.0
"United Republic of Tanzania";"Eastern Africa";"Sub-Saharan Africa";0.0
"United States of America";"Northern America";"Europe and Northern America";0.0
"United States Virgin Islands";"Caribbean";"Latin America and the Caribbean";0.0
"Uruguay";"South America";"Latin America and the Caribbean";175020.0
"Uzbekistan";"Central Asia";"Central and Southern Asia";440595.17
"Vanuatu";"Melanesia";"Oceania";12190.0
"Venezuela (Bolivarian Republic of)";"South America";"Latin America and the Caribbean";0.0
"Viet Nam";"South-Eastern Asia";"Eastern and South-Eastern Asia";0.0
"Wallis and Futuna Islands";"Polynesia";"Oceania";0.0
"Yemen";"Western Asia";"Northern Africa and Western Asia";0.0
"Zambia";"Eastern Africa";"Sub-Saharan Africa";743390.0
"Zimbabwe";"Eastern Africa";"Sub-Saharan Africa";386850.0
